原省份,原始分,百分位(%),对应山西分,Delta
河北2025物理,528,50.8633991883334,499.0052897074928,-28.994710292507193
河北2025物理,523,54.439191901172904,493.1169032329328,-29.883096767067173
河北2025物理,518,58.08812380145386,487.277935739555,-30.722064260444995
河北2025物理,513,61.80796503590064,481.52804646284557,-31.471953537154434
河北2025物理,508,65.58266066092851,475.7584979595288,-32.241502040471175
河北2025物理,503,69.33461178254471,470.0376936089894,-32.9623063910106
河北2025物理,498,73.12224055657138,464.1995150977798,-33.800484902220205
河北2025物理,493,76.80551219729742,458.6020105053784,-34.397989494621584
河北2025物理,488,80.45355215626812,452.8707579757084,-35.129242024291614
河北2025物理,483,84.01507380814343,447.1366064222652,-35.863393577734826
河北2025物理,478,87.49899656602595,441.4644534667793,-36.535546533220725
河北2025物理,473,90.91914552022476,435.69800245804794,-37.30199754195206
河北2025物理,468,94.24118093029479,429.778690805246,-38.221309194753985
河北2025物理,463,97.51014583240422,423.9288476726739,-39.071152327326104
浙江2025,693,0.1860369253465819,679.8555418476692,-13.144458152330799
浙江2025,688,0.3617685982687176,671.1142005421265,-16.88579945787353
浙江2025,683,0.6660447356431562,662.2431570245958,-20.756842975404197
浙江2025,678,1.048966220467316,655.0948638557154,-22.905136144284597
浙江2025,673,1.6103312867463606,647.5112888929406,-25.48871110705943
浙江2025,668,2.333326101577246,639.1999324688811,-28.800067531118884
浙江2025,663,3.1799839455014864,631.0163619391949,-31.983638060805106
浙江2025,658,4.209424424533009,623.6255977780881,-34.37440222191185
浙江2025,653,5.38259605580023,616.1146790185061,-36.88532098149392
浙江2025,648,6.675634044214957,609.3620048055019,-38.6379951944981
浙江2025,643,8.154708957976267,602.199706926131,-40.80029307386906
浙江2025,638,9.8355498665741,595.0831931437602,-42.91680685623976
浙江2025,633,11.743106328509752,587.8360523982914,-45.16394760170863
浙江2025,628,13.757511986635715,581.057636125542,-46.94236387445801
浙江2025,623,15.989412709088146,573.9617690609343,-49.03823093906567
浙江2025,618,18.400841776408566,566.5910715536876,-51.408928446312416
浙江2025,613,21.050376412904345,559.5647593217889,-53.43524067821113
浙江2025,608,23.83333694921138,552.4587636800338,-55.541236319966174
浙江2025,603,26.683552817130586,545.6235142150797,-57.376485784920305
浙江2025,598,29.682381272644438,538.8356556356746,-59.164344364325416
浙江2025,593,32.766906037793156,532.2829511006181,-60.71704889938189
浙江2025,588,35.984314321046575,525.6777766187075,-62.322223381292474
浙江2025,583,39.29013082246762,519.4764630855682,-63.523536914431816
浙江2025,578,42.59377779706246,513.3553891046363,-64.64461089536371
浙江2025,573,45.88983142776561,507.5405484238062,-65.45945157619383
浙江2025,568,49.156596446315056,501.82930347206957,-66.17069652793043
浙江2025,563,52.48573536111773,496.3095183878501,-66.69048161214988
浙江2025,558,55.82680667346451,491.0029784174072,-66.99702158259282
浙江2025,553,59.11147028833012,485.614218603407,-67.38578139659302
浙江2025,548,62.501898335972925,480.4637890352114,-67.53621096478861
浙江2025,543,65.8549020458638,475.3434937444072,-67.65650625559277
浙江2025,538,69.26322868982275,470.1427805303741,-67.85721946962587
浙江2025,533,72.56579090100449,465.0626488757033,-67.9373511242967
浙江2025,528,75.90198077799232,460.02101072048475,-67.97898927951525
浙江2025,523,79.15355910875837,454.9738963114409,-68.02610368855909
浙江2025,518,82.46208751871217,449.6108178919693,-68.3891821080307
浙江2025,513,85.71258108606513,444.33185058353075,-68.66814941646925
浙江2025,508,88.89527694009936,439.03042418980704,-68.96957581019296
浙江2025,503,92.05139609051265,433.75174022372926,-69.24825977627074
浙江2025,498,95.16141279586921,428.2020124961032,-69.79798750389682
浙江2025,493,98.23183563664765,422.55071380127646,-70.44928619872354
河北2025历史,672,0.00924955293827465,670.8411389282851,-1.1588610717149095
河北2025历史,667,0.0724548313498181,662.003725514378,-4.9962744856220525
河北2025历史,662,0.17111672935808103,655.6036900577583,-6.3963099422417145
河北2025历史,657,0.2898193253992724,649.8495927825027,-7.150407217497332
河北2025历史,652,0.4871431214157982,643.6606030708516,-8.339396929148393
河北2025历史,647,0.7445890115311093,638.9327104658691,-8.06728953413085
河北2025历史,642,1.0683233643707222,632.2183223833575,-9.781677616642469
河北2025历史,637,1.5045939446260097,626.7079299500524,-10.292070049947597
河北2025历史,632,2.034901646420423,621.6610031328161,-10.338996867183937
河北2025历史,627,2.7132021952272307,616.226952011422,-10.773047988578014
河北2025历史,622,3.4932478263550593,610.1667951326797,-11.833204867320319
河北2025历史,617,4.4351606339026945,604.3992417813562,-12.600758218643819
河北2025历史,612,5.5975211198125425,598.6931565420766,-13.306843457923378
